customer_id,frequency,recency,T,monetary_value
g-164,0.0,0.0,813.0,0.0
g-165,0.0,0.0,814.0,0.0
g-167,0.0,0.0,825.0,0.0
g-168,0.0,0.0,825.0,0.0
g-169,0.0,0.0,826.0,0.0
g-170,0.0,0.0,826.0,0.0
g-171,0.0,0.0,826.0,0.0
g-172,0.0,0.0,826.0,0.0
g-173,0.0,0.0,826.0,0.0
g-174,1.0,247.0,826.0,130.0
g-176,0.0,0.0,826.0,0.0
g-177,0.0,0.0,827.0,0.0
g-179,0.0,0.0,829.0,0.0
g-180,0.0,0.0,833.0,0.0
g-1803,0.0,0.0,644.0,0.0
g-1804,1.0,360.0,643.0,109.94
g-1815,0.0,0.0,641.0,0.0
g-182,4.0,560.0,850.0,114.7
g-183,1.0,263.0,1097.0,64.95
g-184,0.0,0.0,814.0,0.0
g-1847,0.0,0.0,638.0,0.0
g-1848,2.0,309.0,634.0,128.07
g-1849,0.0,0.0,633.0,0.0
g-185,0.0,0.0,815.0,0.0
g-1850,0.0,0.0,633.0,0.0
g-1854,0.0,0.0,625.0,0.0
g-1855,0.0,0.0,625.0,0.0
g-1856,0.0,0.0,625.0,0.0
g-1857,0.0,0.0,625.0,0.0
g-1858,0.0,0.0,624.0,0.0
g-1859,1.0,532.0,622.0,98.44
g-186,0.0,0.0,816.0,0.0
g-1863,0.0,0.0,615.0,0.0
g-1864,0.0,0.0,364.0,0.0
g-1865,0.0,0.0,614.0,0.0
g-1868,0.0,0.0,611.0,0.0
g-187,2.0,364.0,1180.0,100.0
g-1871,0.0,0.0,600.0,0.0
g-1872,0.0,0.0,599.0,0.0
g-1876,2.0,486.0,579.0,91.27000000000001
g-1877,0.0,0.0,578.0,0.0
g-1879,0.0,0.0,574.0,0.0
g-188,0.0,0.0,816.0,0.0
g-1884,0.0,0.0,560.0,0.0
g-1887,0.0,0.0,549.0,0.0
g-1888,0.0,0.0,548.0,0.0
g-1889,1.0,44.0,547.0,127.41
g-189,0.0,0.0,840.0,0.0
g-1890,0.0,0.0,542.0,0.0
g-1895,0.0,0.0,522.0,0.0
g-190,1.0,719.0,840.0,103.6
g-1902,0.0,0.0,497.0,0.0
g-1904,0.0,0.0,496.0,0.0
g-1907,0.0,0.0,489.0,0.0
g-191,0.0,0.0,817.0,0.0
g-192,1.0,375.0,1216.0,49.99
g-194,1.0,358.0,817.0,277.67
g-1941,1.0,14.0,483.0,76.95
g-196,2.0,384.0,851.0,66.97
g-1968,0.0,0.0,481.0,0.0
g-197,1.0,361.0,1213.0,160.99
g-198,0.0,0.0,818.0,0.0
g-1999,0.0,0.0,479.0,0.0
g-200,0.0,0.0,818.0,0.0
g-201,0.0,0.0,855.0,0.0
g-202,0.0,0.0,818.0,0.0
g-2026,0.0,0.0,475.0,0.0
g-2029,1.0,347.0,475.0,66.08
g-203,1.0,1.0,859.0,80.0
g-2031,0.0,0.0,475.0,0.0
g-2034,0.0,0.0,474.0,0.0
g-204,0.0,0.0,819.0,0.0
g-205,2.0,573.0,1040.0,81.19
g-206,0.0,0.0,859.0,0.0
g-2065,0.0,0.0,471.0,0.0
g-207,0.0,0.0,865.0,0.0
g-2070,0.0,0.0,470.0,0.0
g-2072,0.0,0.0,470.0,0.0
g-208,1.0,326.0,866.0,100.41
g-2085,0.0,0.0,469.0,0.0
g-2089,0.0,0.0,468.0,0.0
g-209,1.0,58.0,932.0,63.0
g-2095,0.0,0.0,468.0,0.0
g-210,0.0,0.0,880.0,0.0
g-2100,0.0,0.0,467.0,0.0
g-211,1.0,416.0,883.0,75.94
g-2110,0.0,0.0,467.0,0.0
g-2111,1.0,370.0,467.0,208.62
g-2113,1.0,184.0,467.0,114.43
g-2115,0.0,0.0,467.0,0.0
g-212,0.0,0.0,893.0,0.0
g-213,0.0,0.0,980.0,0.0
g-2136,0.0,0.0,464.0,0.0
g-214,0.0,0.0,980.0,0.0
g-215,1.0,269.0,981.0,115.0
g-216,0.0,0.0,903.0,0.0
g-2163,0.0,0.0,462.0,0.0
g-217,0.0,0.0,990.0,0.0
g-2176,0.0,0.0,461.0,0.0
g-218,0.0,0.0,991.0,0.0
g-2182,0.0,0.0,460.0,0.0
g-2185,0.0,0.0,460.0,0.0
g-219,0.0,0.0,1001.0,0.0
g-220,3.0,94.0,1033.0,23.310000000000002
g-2201,0.0,0.0,459.0,0.0
g-221,0.0,0.0,1004.0,0.0
g-222,1.0,207.0,926.0,34.97
g-223,0.0,0.0,933.0,0.0
g-224,0.0,0.0,934.0,0.0
g-2240,0.0,0.0,457.0,0.0
g-2245,0.0,0.0,457.0,0.0
g-225,0.0,0.0,950.0,0.0
g-2252,0.0,0.0,457.0,0.0
g-2254,0.0,0.0,457.0,0.0
g-226,0.0,0.0,1018.0,0.0
g-2268,0.0,0.0,456.0,0.0
g-227,0.0,0.0,962.0,0.0
g-2277,0.0,0.0,455.0,0.0
g-2279,0.0,0.0,454.0,0.0
g-228,0.0,0.0,964.0,0.0
g-2280,0.0,0.0,454.0,0.0
g-2282,0.0,0.0,453.0,0.0
g-2285,0.0,0.0,453.0,0.0
g-2286,0.0,0.0,453.0,0.0
g-2287,0.0,0.0,453.0,0.0
g-2289,0.0,0.0,453.0,0.0
g-229,1.0,365.0,974.0,82.72
g-2293,0.0,0.0,452.0,0.0
g-2297,0.0,0.0,452.0,0.0
g-230,0.0,0.0,976.0,0.0
g-2307,0.0,0.0,451.0,0.0
g-231,0.0,0.0,1018.0,0.0
g-2313,0.0,0.0,451.0,0.0
g-2315,0.0,0.0,451.0,0.0
g-232,1.0,925.0,1018.0,95.73
g-2329,0.0,0.0,449.0,0.0
g-233,0.0,0.0,1018.0,0.0
g-234,0.0,0.0,1018.0,0.0
g-2343,0.0,0.0,448.0,0.0
g-235,0.0,0.0,1018.0,0.0
g-236,0.0,0.0,1018.0,0.0
g-237,0.0,0.0,1034.0,0.0
g-238,5.0,908.0,1036.0,130.386
g-239,0.0,0.0,1041.0,0.0
g-240,0.0,0.0,1041.0,0.0
g-241,0.0,0.0,1041.0,0.0
g-242,0.0,0.0,1041.0,0.0
g-243,0.0,0.0,1041.0,0.0
g-244,1.0,365.0,1041.0,54.99
g-245,0.0,0.0,1041.0,0.0
g-246,0.0,0.0,1041.0,0.0
g-247,0.0,0.0,1046.0,0.0
g-249,0.0,0.0,1048.0,0.0
g-250,0.0,0.0,1048.0,0.0
g-251,0.0,0.0,1048.0,0.0
g-252,0.0,0.0,1048.0,0.0
g-254,0.0,0.0,1054.0,0.0
g-255,1.0,86.0,1142.0,60.0
g-2551,0.0,0.0,417.0,0.0
g-2553,0.0,0.0,413.0,0.0
g-256,0.0,0.0,1056.0,0.0
g-2560,0.0,0.0,393.0,0.0
g-257,0.0,0.0,1057.0,0.0
g-2574,0.0,0.0,383.0,0.0
g-2577,0.0,0.0,373.0,0.0
g-258,0.0,0.0,1060.0,0.0
g-2587,3.0,367.0,367.0,96.55
g-2589,0.0,0.0,364.0,0.0
g-259,0.0,0.0,1060.0,0.0
g-2593,0.0,0.0,357.0,0.0
g-260,0.0,0.0,1062.0,0.0
g-261,0.0,0.0,1062.0,0.0
g-262,0.0,0.0,1062.0,0.0
g-263,1.0,33.0,1095.0,60.0
g-264,0.0,0.0,1063.0,0.0
g-265,2.0,1007.0,1064.0,127.59
g-266,0.0,0.0,1064.0,0.0
g-267,0.0,0.0,1065.0,0.0
g-268,0.0,0.0,1065.0,0.0
g-269,0.0,0.0,1065.0,0.0
g-270,0.0,0.0,1065.0,0.0
g-271,0.0,0.0,1065.0,0.0
g-272,0.0,0.0,1068.0,0.0
g-273,0.0,0.0,1126.0,0.0
g-274,0.0,0.0,1126.0,0.0
g-275,0.0,0.0,1129.0,0.0
g-276,0.0,0.0,1129.0,0.0
g-277,1.0,9.0,1138.0,52.99
g-279,0.0,0.0,1131.0,0.0
g-280,0.0,0.0,1134.0,0.0
g-281,0.0,0.0,1136.0,0.0
g-282,0.0,0.0,1079.0,0.0
g-283,0.0,0.0,1092.0,0.0
g-284,0.0,0.0,1104.0,0.0
g-285,0.0,0.0,1139.0,0.0
g-286,0.0,0.0,1141.0,0.0
g-2862,0.0,0.0,337.0,0.0
g-287,0.0,0.0,1142.0,0.0
g-288,0.0,0.0,1143.0,0.0
g-289,0.0,0.0,1148.0,0.0
g-290,0.0,0.0,1165.0,0.0
