customer_id,frequency,recency,T,monetary_value,p_alive,exp_purchases_90d,exp_avg_profit,clv_12m
27,13.0,379.0,1196.0,65.76615384615386,1.08198575027329e-05,1.0260260393866207e-05,66.58016164747299,0.0024288108304645626
2738,0.0,0.0,319.0,0.0,1.0,0.027489925807723966,,
2739,0.0,0.0,319.0,0.0,1.0,0.027489925807723966,,
2742,0.0,0.0,314.0,0.0,1.0,0.027878532366903585,,
2760,0.0,0.0,295.0,0.0,1.0,0.029461416114658474,,
28,2.0,59.0,1196.0,75.0,0.011488907171207926,0.0017569977272117684,80.98490414105018,0.5085439229444626
2896,0.0,0.0,283.0,0.0,1.0,0.030557468949101406,,
29,3.0,115.0,1193.0,75.0,0.00591840961635103,0.001336515324637267,78.92374768501814,0.3763746104450888
3,7.0,725.0,1012.0,101.16714285714285,0.5440468458351256,0.32855191907010384,103.1826091797307,119.69345546125754
30,11.0,359.0,1193.0,66.27272727272727,4.905663394107392e-05,3.952213196644339e-05,67.24051983774403,0.009449851727040043
31,0.0,0.0,1189.0,0.0,1.0,0.008035488042906888,,
32,3.0,110.0,1187.0,35.0,0.0053625960378663115,0.0012168923968414816,37.59664053431922,0.1632088527031598
33,0.0,0.0,1184.0,0.0,1.0,0.008068285716157508,,
34,5.0,166.0,1183.0,32.4,0.0006645180691286889,0.0002484143186830748,33.88649969792796,0.02997502454871422
3402,2.0,93.0,189.0,104.39500000000001,0.4909183276704918,0.39968506218924904,111.86746789834788,138.7688836890373
3403,0.0,0.0,188.0,0.0,1.0,0.043337939451536446,,
3404,0.0,0.0,168.0,0.0,1.0,0.04753222354569797,,
3407,0.0,0.0,158.0,0.0,1.0,0.0499515370947307,,
3410,1.0,713.0,834.0,105.92,0.5924711991509932,0.06738838486094272,121.82412868253675,28.938008891561708
3411,3.0,97.0,115.0,105.98666666666666,0.7693667459995559,1.3530586753244418,110.93848002442624,438.42974377651456
3412,6.0,570.0,685.0,110.13166666666666,0.7770139591993549,0.5835463580061557,112.63480984465785,226.89086220295317
3413,0.0,0.0,112.0,0.0,1.0,0.06526984323153136,,
3417,1.0,17.0,122.0,130.15,0.29290905635116904,0.17799570650399132,148.6372158228862,79.1206651206568
3418,0.0,0.0,103.0,0.0,1.0,0.06945056721975851,,
3420,0.0,0.0,94.0,0.0,1.0,0.07421131974525139,,
3423,0.0,0.0,92.0,0.0,1.0,0.07536051406870463,,
3425,0.0,0.0,90.0,0.0,1.0,0.07654636759064223,,
3427,1.0,733.0,822.0,109.89,0.6033834194167084,0.06958084675950997,126.21735839558616,30.933507838545193
3428,1.0,764.0,852.0,76.2,0.6047893756661948,0.06740713151487339,88.9357692186001,21.154986249240565
3431,0.0,0.0,84.0,0.0,1.0,0.08034254631665436,,
3435,0.0,0.0,29.0,0.0,1.0,0.14883219639050926,,
3437,0.0,0.0,37.0,0.0,1.0,0.13219457932927847,,
3438,0.0,0.0,32.0,0.0,1.0,0.14210785020739114,,
35,4.0,135.0,1183.0,38.5,0.0016232340245887302,0.0004881873697781388,40.517835036839536,0.07048289408374885
36,0.0,0.0,1182.0,0.0,1.0,0.00808147989132401,,
37,2.0,68.0,1177.0,35.0,0.01473639219999105,0.002288667009907824,38.96066361402492,0.31846728065227153
38,2.0,64.0,1173.0,75.0,0.013517996556831021,0.0021063345325812812,80.98490414105018,0.6091491080830473
39,0.0,0.0,1163.0,0.0,1.0,0.008209011318152598,,
4,32.0,945.0,1232.0,90.4775,0.012977399860744932,0.029282852169106813,90.88135000797546,9.466312478628526
40,9.0,1034.0,1138.0,76.33999999999999,0.8677679144918782,0.5999411676764362,77.63411151411903,165.31298139553166
41,13.0,731.0,1138.0,92.2623076923077,0.0721839890118679,0.0717987171245856,93.27413178508183,23.754256851421914
42,2.0,61.0,1110.0,77.0,0.01406640920675302,0.0023113106001308504,83.08611616740144,0.6841060337461888
43,9.0,275.0,1110.0,47.44444444444444,8.069159904400883e-05,5.713657593204773e-05,48.42590874444522,0.009808763177238769
44,2.0,61.0,1110.0,64.0,0.01406640920675302,0.0023113106001308504,69.42823799611823,0.5716511821278979
45,2.0,61.0,1110.0,42.0,0.01406640920675302,0.0023113106001308504,46.314905706254336,0.3813429716969441
46,2.0,61.0,1110.0,42.0,0.01406640920675302,0.0023113106001308504,46.314905706254336,0.3813429716969441
47,4.0,122.0,1079.0,79.0,0.0016530906213069445,0.0005431080327660521,82.01731690729358,0.15804650853026297
48,6.0,670.0,1049.0,88.33166666666666,0.4173276424633289,0.20930352532497154,90.47907438450399,67.01339931951105
489,0.0,0.0,669.0,0.0,1.0,0.013922269272399763,,
49,3.0,683.0,1049.0,79.32666666666667,0.5841994529361051,0.1492752420948603,83.39396310848542,44.15610591727823
491,0.0,0.0,668.0,0.0,1.0,0.01394191690703201,,
492,5.0,153.0,652.0,99.0,0.00888249358602826,0.005844619740034455,101.7949156596868,2.048504031108539
4985,0.0,0.0,2.0,0.0,1.0,0.26454963303666085,,
5,2.0,58.0,1224.0,59.0,0.010681193825899762,0.0015974410104653662,64.17520793024008,0.36674876617154867
50,5.0,511.0,1192.0,85.396,0.11397609117725856,0.04229771975939539,87.92365303590651,13.247322487798634
51,3.0,92.0,957.0,69.0,0.006569202223586624,0.0018325504757746099,72.7246816124133,0.4705643262428335
511,0.0,0.0,667.0,0.0,1.0,0.013961620112530606,,
53,5.0,148.0,1012.0,55.2,0.0008707107631467681,0.0003780648615307397,57.134425883034595,0.07634024979526484
55,2.0,62.0,988.0,69.0,0.018260487139903567,0.0033547477664250275,74.68126806199639,0.8876380777355649
57,2.0,732.0,996.0,95.16,0.6459728182617585,0.11776382110330096,102.1651213666709,42.64319799565238
58,0.0,0.0,991.0,0.0,1.0,0.009577247447091037,,
59,0.0,0.0,988.0,0.0,1.0,0.009605172176383285,,
6,1.0,30.0,1219.0,75.0,0.049611852011820126,0.00392260095609972,87.60784084185973,1.2325417681922612
60,0.0,0.0,984.0,0.0,1.0,0.00964265953209343,,
61,1.0,73.0,901.0,74.99,0.12266128752371104,0.012962226204072981,87.59677477205355,4.01811619291614
62,0.0,0.0,977.0,0.0,1.0,0.009708971586634313,,
631,5.0,368.0,651.0,100.796,0.3469826375591434,0.2286396353627678,103.62619966970661,81.56993968142076
66,4.0,122.0,926.0,79.0,0.0030508139677133516,0.0011600300685765971,82.01731690729358,0.3349598270047075
67,0.0,0.0,945.0,0.0,1.0,0.010024108356404927,,
69,0.0,0.0,942.0,0.0,1.0,0.010054704861100905,,
7,11.0,324.0,1219.0,74.45363636363636,1.334487851509339e-05,1.0530531454095424e-05,75.49370946663227,0.0028297447736667994
716,2.0,61.0,652.0,99.0,0.04080072792994038,0.011109374928796389,106.19944845726533,4.082852493036785
