customer_id,frequency,recency_days,T_days,monetary_mean,segment,segment_prob_max
g-215,1,269,981,79.495,1,0.8782855041488243
g-216,1,0,903,85.0,0,0.8872973751806461
g-2163,0,0,462,97.03,2,0.9999999999987317
g-217,0,0,990,100.0,2,0.9999999962562693
g-2176,0,0,461,88.58,2,0.9999999999990035
g-218,0,0,991,62.0,2,0.9999999434471396
g-2182,0,0,460,168.63,2,0.9999999999983444
g-2185,0,0,460,182.53,2,0.9999999999985469
g-219,0,0,1001,70.98,2,0.9999999737557491
g-220,3,94,1033,22.4775,1,0.9999549214240494
g-2201,0,0,459,74.01,2,0.9999999999994742
g-221,0,0,1003,32.0,2,0.9999965515056323
g-222,1,207,926,42.974999999999994,1,0.9926449493254922
g-223,0,0,933,76.97,2,0.9999999872774695
g-224,1,0,934,84.44999999999999,0,0.8942023982357755
g-2240,0,0,457,155.96,2,0.9999999999981828
g-2245,0,0,457,93.63,2,0.9999999999988489
g-225,0,0,950,34.87,2,0.9999983586529085
g-2252,0,0,456,244.66,2,0.9999999999993703
g-2254,0,0,456,122.02,2,0.9999999999981828
g-226,0,0,1018,41.6,2,0.9999993312377098
g-2268,0,0,456,174.89,2,0.9999999999984137
g-227,0,0,962,100.0,2,0.9999999965669844
g-2277,0,0,455,93.98,2,0.9999999999988418
g-2279,0,0,453,108.97,2,0.9999999999984226
g-228,0,0,963,16.0,2,0.9996945933023019
g-2280,0,0,453,124.54,2,0.9999999999981544
g-2282,0,0,453,129.34,2,0.9999999999981117
g-2285,0,0,452,118.62,2,0.9999999999982325
g-2286,0,0,452,124.54,2,0.9999999999981544
g-2287,0,0,452,190.04,2,0.9999999999986251
g-2289,0,0,452,79.99,2,0.9999999999993072
g-229,1,365,974,66.36,1,0.9193432760059017
g-2293,0,0,452,79.99,2,0.9999999999993072
g-2297,0,0,452,79.99,2,0.9999999999993072
g-230,0,0,975,37.99,2,0.9999989329222183
g-2307,0,0,451,168.63,2,0.9999999999983054
g-231,1,0,1018,42.785,0,0.9905722661296265
g-2313,0,0,451,156.98,2,0.9999999999981704
g-2315,0,0,451,105.43,2,0.999999999998515
g-232,1,924,1018,70.36,1,0.9714234003246462
g-2329,0,0,449,75.97,2,0.9999999999994369
g-233,0,0,1018,31.18,2,0.9999958177831574
g-234,0,0,1018,71.59,2,0.999999974445075
g-2343,0,0,448,81.87,2,0.9999999999992557
g-235,0,0,1018,40.78,2,0.9999992425992419
g-236,0,0,1018,35.0,2,0.9999980097581814
g-237,0,0,1033,39.94,2,0.9999991270313915
g-238,5,908,1036,137.635,4,0.9998547633947805
g-239,0,0,1040,60.0,2,0.9999999275082816
g-240,0,0,1041,119.98,2,0.9999999985355039
