c1,c2,dist,count
271.0,280.0,0.02521424885465385,2.0
208.0,258.0,0.02830698627806466,2.0
173.0,385.0,0.03011758638853716,2.0
35.0,43.0,0.030413168986412532,2.0
172.0,211.0,0.030569924990712285,2.0
443.0,455.0,0.030750014333368127,4.0
91.0,129.0,0.030877995371853505,2.0
212.0,453.0,0.031696632105425525,5.0
186.0,366.0,0.03170242273909138,2.0
215.0,311.0,0.03444639935607834,2.0
104.0,417.0,0.03649808351269421,3.0
255.0,418.0,0.037128106769942326,3.0
444.0,452.0,0.03723111763749723,7.0
154.0,377.0,0.03905974153464398,2.0
348.0,438.0,0.039671771392507535,3.0
108.0,289.0,0.04018700118208747,2.0
362.0,445.0,0.041971905294469834,4.0
304.0,312.0,0.04198378993280526,2.0
166.0,264.0,0.0427902476186895,2.0
333.0,467.0,0.04294458132585416,3.0
130.0,191.0,0.04430892392753665,2.0
414.0,454.0,0.045098066875232795,4.0
170.0,350.0,0.0460270764955235,2.0
402.0,481.0,0.05035796377593481,9.0
135.0,266.0,0.05048786862949592,2.0
218.0,470.0,0.050989734189111124,3.0
465.0,474.0,0.05144911085523106,6.0
96.0,133.0,0.05199664602139178,2.0
442.0,471.0,0.05296826867946534,4.0
456.0,464.0,0.05511876304007884,11.0
451.0,468.0,0.055236765045740245,5.0
394.0,461.0,0.05611008439190174,8.0
184.0,355.0,0.057891095226062436,2.0
361.0,475.0,0.0587240369617357,3.0
396.0,446.0,0.06092430408238896,5.0
155.0,213.0,0.06211340207181414,2.0
194.0,273.0,0.06366912021790455,2.0
163.0,473.0,0.06627608689721488,3.0
185.0,478.0,0.06640129233719862,3.0
286.0,457.0,0.06718942144025422,3.0
168.0,425.0,0.06993653163183555,3.0
341.0,489.0,0.06996821587590109,3.0
306.0,342.0,0.07264087581337392,2.0
99.0,107.0,0.07264554831570263,2.0
449.0,462.0,0.07421532840633965,8.0
56.0,66.0,0.07475180060595854,2.0
460.0,476.0,0.07475619971835745,7.0
143.0,176.0,0.07524374942314357,2.0
432.0,500.0,0.07955259514545758,10.0
411.0,484.0,0.08000345901096413,5.0
181.0,261.0,0.08107794199451154,2.0
80.0,498.0,0.08204470405190735,12.0
84.0,459.0,0.08400311379148626,5.0
423.0,447.0,0.08567236358884776,8.0
55.0,64.0,0.08670870070954903,2.0
235.0,326.0,0.08794964466508881,2.0
94.0,501.0,0.09068173535701853,3.0
204.0,309.0,0.0916192717390373,2.0
89.0,157.0,0.09327699870813948,2.0
117.0,297.0,0.09341393577858413,2.0
87.0,319.0,0.09732233751317779,2.0
490.0,507.0,0.0995060095335538,7.0
296.0,380.0,0.1017709706825449,2.0
421.0,450.0,0.10278190457990473,6.0
463.0,495.0,0.10911013498145092,8.0
485.0,515.0,0.11135508496834551,11.0
239.0,488.0,0.11243993161059507,4.0
422.0,505.0,0.11255726387121735,4.0
480.0,491.0,0.1127181934920727,5.0
278.0,499.0,0.11566875931931526,6.0
