c1,c2,dist,count
57.0,443.0,1.7680996499395971,2.0
5.0,946.0,1.774378200373716,4.0
961.0,968.0,1.8234151116460493,11.0
62.0,935.0,1.8573508372015526,5.0
319.0,967.0,1.9254365238577007,7.0
155.0,165.0,1.9330931071870971,2.0
933.0,953.0,1.9352907613049328,45.0
920.0,957.0,1.9623110986719616,12.0
916.0,975.0,1.9684892502544382,12.0
152.0,222.0,1.988175303595467,2.0
228.0,969.0,1.9977012198369524,8.0
884.0,927.0,2.0308086087309216,7.0
169.0,951.0,2.0331747729964333,4.0
69.0,860.0,2.035192266179256,7.0
171.0,230.0,2.069165101394687,2.0
157.0,943.0,2.14245578634638,3.0
892.0,970.0,2.157567036209936,7.0
942.0,959.0,2.3253231511164527,12.0
873.0,928.0,2.3320830356401316,7.0
950.0,986.0,2.3416120528569033,9.0
50.0,965.0,2.3487133920123324,3.0
40.0,983.0,2.4341920948203954,13.0
966.0,980.0,2.46495256569889,4.0
388.0,905.0,2.4727166386211645,3.0
252.0,977.0,2.4790066790768464,12.0
931.0,947.0,2.5048649806507335,20.0
144.0,914.0,2.540576885110945,4.0
949.0,990.0,2.5940384189594177,13.0
940.0,982.0,2.6674033031263673,25.0
907.0,948.0,2.7112085015589784,32.0
894.0,988.0,2.718832322239294,14.0
33.0,958.0,2.7946753811905585,3.0
945.0,971.0,2.8604479460417354,34.0
51.0,81.0,3.005711479564862,2.0
83.0,106.0,3.0162624725419427,2.0
145.0,978.0,3.0788922305229733,6.0
234.0,1005.0,3.132187741546365,15.0
973.0,1003.0,3.1376130578579735,29.0
14.0,960.0,3.1505284288410462,4.0
963.0,1001.0,3.2077200653552773,15.0
984.0,995.0,3.2649500377964022,5.0
118.0,355.0,3.2702901617796014,2.0
989.0,992.0,3.335052271686836,14.0
137.0,379.0,3.446574500927832,2.0
964.0,976.0,3.6868169260714345,59.0
617.0,1007.0,3.696837020424411,94.0
981.0,991.0,3.7062445205559995,52.0
888.0,999.0,3.7212048916390263,15.0
164.0,987.0,3.7255216338152293,5.0
930.0,1021.0,3.8565676325906013,57.0
954.0,1011.0,3.9954656219973597,17.0
112.0,926.0,4.133580769491874,5.0
1002.0,1017.0,4.1778707022058965,27.0
974.0,1009.0,4.183200147053722,4.0
929.0,985.0,4.312334682207736,37.0
421.0,1015.0,4.383949854210889,6.0
972.0,993.0,4.534233626736965,10.0
944.0,962.0,4.902073937769237,28.0
80.0,1028.0,5.091027828756204,5.0
1000.0,1012.0,5.203431736602903,49.0
117.0,178.0,5.6533033937568495,2.0
49.0,996.0,5.6854903586731576,14.0
1016.0,1022.0,5.694076742593586,17.0
1006.0,1023.0,5.920244975531839,8.0
1030.0,1034.0,5.987769905864785,55.0
25.0,136.0,6.325011616735655,2.0
998.0,1037.0,6.3457613174768,20.0
59.0,188.0,6.561120358361903,2.0
979.0,1029.0,6.632293294875031,44.0
1025.0,1032.0,6.6363300421499565,45.0
1018.0,1041.0,7.317860056095877,22.0
138.0,186.0,7.734849356466241,2.0
1026.0,1036.0,8.093845382547375,19.0
994.0,1013.0,8.92040449165747,13.0
1008.0,1031.0,9.093486180923753,12.0
1020.0,1043.0,9.659567109549764,138.0
1010.0,1033.0,9.743488760886983,11.0
917.0,1035.0,9.766898654649381,12.0
23.0,1040.0,9.971466428491048,3.0
997.0,1027.0,10.055504486560773,31.0
1004.0,1050.0,10.9360400881199,170.0
1038.0,1046.0,11.613173275235676,10.0
1019.0,1024.0,11.95159098792426,116.0
1039.0,1055.0,12.247472489475365,225.0
1045.0,1052.0,13.977814087931986,34.0
