antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Cave Dweller'}),frozenset({'Mountain Top'}),0.03538461538461538,0.08923076923076922,0.013076923076923076,0.3695652173913044,4.141679160419791,1.0,0.009919526627218934,1.4446684350132628,0.7863777089783281,0.11724137931034483,0.30779964747356053,0.25805847076461774
frozenset({'Cave Dweller - 1/2-lb wedge'}),frozenset({'Merry Goat Round'}),0.031538461538461536,0.15153846153846154,0.015384615384615385,0.48780487804878053,3.219016961743222,1.0,0.010605325443786983,1.6565201465201465,0.7117950754567117,0.09174311926605505,0.39632487893328616,0.29466386034418723
frozenset({'Fresh Goat Cheese'}),frozenset({'Merry Goat Round'}),0.06230769230769231,0.15153846153846154,0.03,0.48148148148148145,3.1772889640909945,1.0,0.020557988165680472,1.6363186813186812,0.7308007824824888,0.1631799163179916,0.3888720996608575,0.3397255123143448
frozenset({'Merry Goat Round Spruce Reserve'}),frozenset({'Merry Goat Round'}),0.06692307692307692,0.15153846153846154,0.02846153846153846,0.4252873563218391,2.8064647879106133,1.0,0.018320118343195267,1.476323076923077,0.6898464829215035,0.14979757085020243,0.32264148977188656,0.3065523076025439
frozenset({'Mountain Top'}),frozenset({'Merry Goat Round'}),0.08923076923076922,0.15153846153846154,0.04461538461538461,0.5,3.299492385786802,1.0,0.031093491124260353,1.696923076923077,0.7652027027027027,0.22745098039215686,0.4106980961015413,0.39720812182741116
frozenset({'White Rock'}),frozenset({'Merry Goat Round'}),0.031538461538461536,0.15153846153846154,0.01769230769230769,0.5609756097560976,3.701869506004705,1.0,0.012913017751479289,1.932606837606838,0.7536346997271816,0.10697674418604651,0.4825641819428168,0.3388634393958153
frozenset({'Merry Goat Round Spruce Reserve'}),frozenset({'Mountain Top'}),0.06692307692307692,0.08923076923076922,0.024615384615384615,0.36781609195402304,4.12207689258819,1.0,0.01864378698224852,1.4406713286713286,0.811727122835944,0.18713450292397663,0.3058791550170861,0.32183908045977017
frozenset({'White Rock'}),frozenset({'Mountain Top'}),0.031538461538461536,0.08923076923076922,0.013846153846153847,0.4390243902439025,4.9201009251471834,1.0,0.011031952662721894,1.6235451505016725,0.8226987909275439,0.12949640287769784,0.3840639419907713,0.29709840201850296
"frozenset({'Bloomy Breeze', 'Mountain Top'})",frozenset({'Merry Goat Round'}),0.02923076923076923,0.15153846153846154,0.02,0.6842105263157895,4.515094843708256,1.0,0.015570414201183432,2.686794871794872,0.801962696574424,0.12440191387559808,0.627809323853605,0.4080951108736308
"frozenset({'Bloomy Breeze', 'Merry Goat Round'})",frozenset({'Mountain Top'}),0.04230769230769231,0.08923076923076922,0.02,0.4727272727272727,5.297805642633229,1.0,0.016224852071005918,1.7273209549071615,0.8470806302131603,0.1793103448275862,0.42106879606879605,0.34843260188087777
"frozenset({'Mountain Top', 'Merry Goat Round'})",frozenset({'Bloomy Breeze'}),0.04461538461538461,0.07384615384615385,0.02,0.4482758620689656,6.070402298850575,1.0,0.016705325443786983,1.678653846153846,0.8742722655766134,0.203125,0.40428456867911566,0.35955459770114945
