Billing ZIP,Total Customers,Total Spent,Avg Spent,Total Orders,Avg Orders,Total Items,Avg Items,Returning Customers,Returning Customers Rate
21502,9,1921.74,213.53,32,3.56,45,5,3,33.3
21550,9,1424.54,158.28,21,2.33,32,3.56,5,55.6
21541,6,813.11,135.52,8,1.33,13,2.17,1,16.7
21210,6,1009.92,168.32,14,2.33,17,2.83,3,50
21042,6,574.88,95.81,7,1.17,13,2.17,1,16.7
20832,5,1735.15,347.03,21,4.2,57,11.4,2,40
21532,5,635.34,127.07,6,1.2,7,1.4,1,20
20910,4,1093.36,273.34,15,3.75,33,8.25,2,50
20854,4,554.61,138.65,9,2.25,14,3.5,2,50
20814,4,366.24,91.56,5,1.25,13,3.25,1,25
21601,4,3151.23,787.81,19,4.75,177,44.25,1,25
20853,4,595.32,148.83,8,2,10,2.5,2,50
21401,4,1706.45,426.61,19,4.75,32,8,2,50
20882,4,316.1,79.03,4,1,9,2.25,0,0
21157,4,751.42,187.86,10,2.5,18,4.5,1,25
21146,4,380.18,95.05,4,1,16,4,0,0
20817,4,668.02,167.01,11,2.75,11,2.75,2,50
20009,4,477.68,119.42,5,1.25,13,3.25,1,25
21212,3,387.14,129.05,3,1,3,1,0,0
20018,3,3312.7,1104.23,37,12.33,40,13.33,1,33.3
15228,3,351.39,117.13,4,1.33,4,1.33,1,33.3
21536,3,1795.95,598.65,21,7,26,8.67,1,33.3
21208,3,329.35,109.78,5,1.67,11,3.67,2,66.7
20906,3,276.81,92.27,3,1,9,3,0,0
21811,3,202.05,67.35,3,1,9,3,0,0
20194,3,2779.22,926.41,29,9.67,147,49,2,66.7
21030,3,287.9,95.97,3,1,3,1,0,0
19004,3,681.99,227.33,4,1.33,11,3.67,1,33.3
17050,3,939.72,313.24,12,4,16,5.33,2,66.7
21043,3,418.09,139.36,7,2.33,11,3.67,1,33.3
21701,3,864.51,288.17,9,3,11,3.67,2,66.7
20895,3,828.66,276.22,7,2.33,31,10.33,1,33.3
15012,2,525.54,262.77,7,3.5,7,3.5,2,100
21704,2,322.81,161.41,5,2.5,6,3,1,50
21217,2,482.64,241.32,4,2,5,2.5,1,50
20007,2,243.14,121.57,2,1,3,1.5,0,0
15241,2,141.85,70.93,2,1,2,1,0,0
21117,2,169.16,84.58,2,1,5,2.5,0,0
91423,2,233.2,116.6,2,1,2,1,0,0
20850,2,944.98,472.49,13,6.5,15,7.5,1,50
21211,2,160.5,80.25,2,1,2,1,0,0
21234,2,320.94,160.47,5,2.5,9,4.5,2,100
21218,2,333.62,166.81,4,2,10,5,1,50
21131,2,238.94,119.47,2,1,3,1.5,0,0
26501,2,183.51,91.76,2,1,2,1,0,0
19966,2,296.76,148.38,6,3,8,4,1,50
08033,2,1003,501.5,17,8.5,17,8.5,2,100
15370,2,161.83,80.92,2,1,3,1.5,0,0
27613,2,228.18,114.09,3,1.5,12,6,1,50
32578,2,2499.72,1249.86,29,14.5,29,14.5,2,100
21409,2,295.98,147.99,2,1,2,1,0,0
22205,2,663.67,331.84,8,4,13,6.5,1,50
21530,2,313.72,156.86,4,2,5,2.5,1,50
20723,2,1503.47,751.74,12,6,17,8.5,2,100
20851,2,305.62,152.81,3,1.5,29,14.5,1,50
21001,2,371.59,185.8,5,2.5,8,4,1,50
20015,2,152,76,2,1,6,3,0,0
15215,2,301.57,150.79,2,1,3,1.5,0,0
21719,2,373.19,186.6,4,2,5,2.5,1,50
21771,2,133.63,66.82,3,1.5,3,1.5,1,50
15237,2,1919.45,959.73,25,12.5,49,24.5,2,100
21520,2,302.42,151.21,3,1.5,11,5.5,1,50
22042,2,215.25,107.63,2,1,4,2,0,0
21074,2,236.94,118.47,2,1,5,2.5,0,0
21104,2,390.47,195.24,5,2.5,8,4,1,50
21075,2,309.62,154.81,4,2,6,3,2,100
20874,2,158.67,79.34,2,1,6,3,0,0
20171,2,477.76,238.88,5,2.5,18,9,1,50
20855,2,367.46,183.73,3,1.5,3,1.5,1,50
20902,2,246.42,123.21,2,1,8,4,0,0
33432,2,472.86,236.43,4,2,18,9,1,50
21784,2,410.57,205.29,6,3,12,6,1,50
29485,2,182.63,91.32,2,1,12,6,0,0
76102,2,266.17,133.09,5,2.5,13,6.5,1,50
32176,2,241.9,120.95,4,2,4,2,1,50
26505,2,237.59,118.8,2,1,4,2,0,0
20707,2,145.82,72.91,2,1,3,1.5,0,0
20740,2,275.01,137.51,2,1,6,3,0,0
22304,2,323.93,161.97,6,3,12,6,1,50
20180,2,143.34,71.67,2,1,5,2.5,0,0
19958,1,93.63,93.63,1,1,1,1,0,0
17078,1,76.8,76.8,1,1,4,4,0,0
17801,1,146.96,146.96,1,1,7,7,0,0
19425-3697,1,59.1,59.1,1,1,1,1,0,0
30152,1,103.07,103.07,1,1,4,4,0,0
21013-9768,1,415.96,415.96,2,2,19,19,1,100
22602,1,84.99,84.99,1,1,1,1,0,0
15552,1,182.53,182.53,1,1,10,10,0,0
19975,1,67.83,67.83,1,1,3,3,0,0
22401-4461,1,216.38,216.38,2,2,8,8,1,100
22182,1,75,75,1,1,1,1,0,0
24141,1,142.82,142.82,1,1,2,2,0,0
91205,1,56.73,56.73,1,1,1,1,0,0
33950,1,100,100,1,1,1,1,0,0
98282-8575,1,346,346,3,3,3,3,1,100
11375,1,82.02,82.02,1,1,4,4,0,0
07901,1,173.78,173.78,2,2,10,10,1,100
64145-1167,1,65.97,65.97,1,1,3,3,0,0
33558,1,884.01,884.01,6,6,36,36,1,100
21904,1,136.76,136.76,1,1,6,6,0,0
34292,1,97.84,97.84,1,1,4,4,0,0
20187,1,308.49,308.49,2,2,17,17,1,100
