Nth day,30 days,7 days,1 day
223,2545,651,121
224,2550,645,79
225,2569,648,81
226,2501,656,98
227,2490,642,86
228,2497,621,80
229,2646,754,235
230,2662,723,88
231,2658,715,71
232,2729,774,140
233,2761,773,101
234,2799,791,107
235,2772,816,105
236,2782,668,87
237,2764,670,90
238,2769,698,104
239,3059,948,390
240,3049,945,99
241,3086,962,123
242,3116,963,105
243,3135,994,125
244,3201,1059,150
245,3209,1063,114
246,3215,777,102
247,3276,825,146
248,3311,815,117
249,3327,817,111
250,3533,1008,310
251,3568,1003,136
252,3565,991,99
253,3558,998,111
254,3607,984,136
255,3638,986,117
256,3665,994,119
257,3669,776,90
258,3690,746,102
259,3554,742,97
260,3566,737,102
261,3598,707,106
262,3589,713,125
263,3587,692,100
264,3741,859,262
265,3746,868,109
266,3741,854,87
267,3748,845,97
268,3726,818,78
269,3444,795,99
270,3436,784,94
271,3427,637,113
272,3447,658,125
273,3444,690,116
274,3392,693,89
275,3393,728,111
276,3443,780,149
277,3414,797,115
278,3412,791,111
279,3386,757,85
280,3169,729,94
281,3187,787,147
282,3199,790,123
283,3183,732,88
284,3193,767,148
285,3310,892,240
286,3335,955,146
287,3334,952,93
288,3345,925,118
289,3346,895,100
290,3366,927,128
291,3419,940,161
292,3382,787,83
293,3357,722,76
294,3215,749,117
295,3203,732,94
296,3204,716,84
297,3195,670,76
298,3196,584,77
299,3213,616,113
300,3190,616,74
301,3156,578,79
302,3185,635,144
303,3201,681,131
304,3216,710,106
305,3213,745,115
306,3148,707,78
307,3129,723,92
308,3097,722,81
309,3103,667,85
310,3113,638,106
311,3066,625,92
312,3020,588,70
313,2994,580,69
314,2934,566,78
315,2773,555,71
316,2716,553,84
317,2724,540,90
318,2690,518,73
319,2663,522,77
320,2637,552,99
321,2547,548,71
322,2599,608,133
323,2593,598,73
324,2638,666,160
325,2628,670,76
326,2626,674,80
327,2615,645,68
328,2617,652,78
329,2581,600,81
330,2580,597,71
331,2603,537,100
332,2538,537,79
333,2498,547,89
334,2474,560,80
335,2441,556,78
336,2440,554,83
337,2440,582,99
338,2437,560,78
339,2415,545,64
340,2380,532,74
341,2378,554,96
342,2410,579,103
343,2403,555,60
344,2423,558,101
345,2445,577,102
346,2519,669,161
347,2538,708,120
348,2555,708,94
349,2564,694,92
350,2542,707,80
351,2551,694,93
352,2524,701,105
353,2637,738,191
354,2560,700,87
355,2564,699,90
356,2593,726,110
357,2604,726,82
358,2618,723,92
359,2636,720,97
360,2669,634,102
361,2641,619,70
362,2646,619,90
363,2626,578,72
364,2610,551,56
365,2644,574,109
366,2708,621,147
367,2806,713,192
368,2965,880,234
369,3197,1091,295
370,3324,1220,205
371,3533,1462,303
372,3709,1630,283
373,3828,1663,185
374,3821,1558,96
375,3799,1405,76
376,4083,1556,448
377,4174,1567,214
378,4274,1466,200
379,4354,1356,168
380,4429,1333,164
381,4521,1423,190
382,4591,1518,178
383,4777,1455,382
384,4880,1442,211
385,4989,1448,202
386,5064,1468,185
387,5167,1502,193
388,5246,1482,169
389,5608,1775,473
390,5693,1601,207
391,5804,1579,183
392,5881,1545,169
393,5960,1507,157
394,6136,1550,249
395,6129,1495,123
396,6145,1203,162
397,6130,1185,190
398,5965,1068,66
399,5737,972,65
400,5682,959,140
401,5491,819,103
402,5280,761,60
403,5184,686,82
404,5163,572,75
405,5154,577,68
406,4891,679,167
407,4760,608,72
408,4629,574,69
409,4552,594,88
410,4487,597,86
411,4412,658,141
412,4326,685,104
413,4083,648,138
414,3944,644,69
415,3838,671,96
416,3759,693,113
417,3663,711,97
418,3572,662,72
419,3200,619,54
420,3043,522,35
421,2929,517,67
422,2860,512,92
423,2812,499,99
424,2686,508,110
425,2670,538,107
426,2575,547,63
427,2449,571,58
428,2465,588,81
429,2465,564,62
430,2395,528,61
431,2342,466,44
432,2334,413,52
433,2320,420,69
434,2329,441,83
435,2343,437,77
436,2271,463,92
437,2272,471,71
438,2278,495,70
439,2276,523,78
440,2263,523,71
441,2217,513,71
442,2232,553,112
443,2225,586,129
444,2249,608,94
445,2228,605,69
446,2174,587,65
447,2139,581,66
448,2155,594,93
449,2199,584,100
450,2222,523,60
451,2221,495,62
452,2203,499,68
453,2167,494,61
454,2117,491,61
455,2081,466,68
456,2067,418,52
457,2070,424,65
458,2057,428,70
459,2054,420,58
460,2046,411,52
461,2064,414,63
462,2075,412,66
463,2193,544,186
464,2180,548,67
465,2210,581,104
466,2191,598,78
467,2247,672,122
468,2258,692,83
469,2257,703,76
470,2284,618,100
471,2294,640,89
472,2289,637,108
473,2239,626,70
474,2215,576,76
475,2216,555,62
476,2211,539,62
477,2185,479,40
478,2158,459,65
479,2128,430,72
480,2135,424,66
481,2137,416,67
482,2134,420,63
483,2171,460,102
484,2182,490,70
485,2187,500,72
486,2228,529,100
487,2226,519,59
488,2210,501,51
489,2206,494,55
490,2209,448,54
491,2255,486,110
492,2295,520,106
493,2200,508,93
494,2191,512,65
495,2161,538,76
496,2140,542,64
497,2081,545,57
498,2123,565,127
499,2109,522,64
500,2090,509,77
501,2055,492,50
502,2024,490,73
503,2041,518,91
504,2043,533,74
505,2044,474,64
506,2040,468,57
507,2062,454,65
508,2060,464,60
509,2101,508,114
510,2089,478,60
511,2091,472,67
512,2104,485,76
513,2069,489,63
514,2059,488,64
515,2045,481,52
516,2020,442,73
517,2042,463,78
518,2239,642,247
519,2261,642,74
520,2287,662,82
521,2236,650,56
522,2192,654,60
523,2166,643,60
524,2162,629,67
525,2161,458,78
526,2183,469,87
527,2185,451,67
528,2121,452,54
529,2132,464,74
530,2136,490,85
531,2149,492,66
532,2167,502,88
533,2139,474,59
534,2142,483,71
535,2158,508,80
536,2149,484,50
537,2148,466,68
538,2178,495,94
539,2131,475,72
540,2176,519,106
541,2190,527,78
542,2191,524,76
543,2279,626,152
544,2285,633,77
545,2296,609,70
546,2291,603,68
547,2335,625,133
548,2150,608,61
549,2152,607,77
550,2137,529,68
551,2159,533,80
552,2196,560,100
553,2207,562,68
554,2189,486,59
555,2209,524,94
556,2191,520,68
557,2193,517,66
558,2215,512,75
559,2208,478,62
560,2185,474,62
561,2180,473,58
562,2190,473,91
563,2193,466,65
564,2184,463,63
565,2208,492,107
566,2237,510,75
567,2269,542,97
568,2269,571,93
569,2313,595,119
570,2327,653,125
571,2337,676,91
572,2349,661,90
573,2294,672,89
574,2311,677,100
575,2342,693,110
576,2363,670,91
577,2317,620,81
578,2364,636,110
579,2371,625,83
580,2377,613,74
581,2415,636,119
582,2396,610,82
583,2399,592,67
584,2464,637,126
585,2450,608,81
586,2457,607,79
587,2478,620,91
588,2506,608,106
589,2529,611,87
590,2534,613,67
591,2576,598,110
592,2574,608,89
593,2585,608,79
594,2598,600,84
595,2574,577,80
596,2607,600,111
597,2599,621,90
598,2588,589,78
599,2632,656,160
600,2622,698,124
601,2607,696,83
602,2600,700,85
603,2617,696,109
604,2634,721,119
605,2644,756,116
606,2706,753,148
607,2740,744,115
608,2737,767,105
609,2746,772,95
610,2746,748,82
611,2717,718,88
612,2729,701,97
613,2768,654,108
614,2739,639,101
615,2737,622,80
616,2754,621,97
617,2744,620,84
618,2712,609,78
619,2736,628,111
620,2768,626,102
621,2741,610,83
622,2754,639,105
623,2777,640,101
624,2828,684,129
625,2865,716,116
626,2836,683,80
627,2879,719,143
628,2889,728,92
629,2820,709,84
630,2793,704,93
631,2807,680,102
632,2854,693,127
633,2863,721,116
634,2859,693,115
635,2856,713,112
636,2811,738,113
637,2786,734,92
638,2788,735,99
639,2844,767,160
640,2890,781,130
641,2917,786,117
642,2928,781,108
643,2913,761,96
644,2918,771,98
645,2939,772,96
646,2932,709,99
647,2957,689,112
648,2995,695,118
649,2979,683,93
650,3006,714,128
651,3029,719,103
652,3015,712,87
653,3020,718,106
654,3004,714,105
655,2995,701,106
656,3002,700,90
657,2961,673,103
658,2949,653,82
659,2962,668,102
660,2954,649,93
661,2942,630,86
662,2908,614,89
663,2893,621,100
664,2859,595,70
665,2868,630,115
666,2827,595,67
667,2822,588,85
668,2828,607,105
669,2774,620,100
670,2751,628,109
671,2738,654,98
672,2743,649,113
673,2717,655,65
674,2708,657,89
675,2687,625,73
676,2645,575,52
677,2630,563,101
678,2593,552,83
679,2557,496,55
680,2495,492,59
681,2469,477,74
682,2484,509,101
683,2462,541,88
684,2429,512,69
685,2417,517,86
686,2384,518,61
687,2367,539,80
688,2366,545,79
689,2345,524,80
690,2314,498,64
691,2338,537,111
692,2343,548,94
693,2333,572,89
694,2348,577,85
695,2365,621,122
696,2403,640,106
697,2441,702,122
698,2449,706,111
699,2440,706,92
700,2419,703,88
701,2433,723,107
702,2430,708,110
703,2459,697,91
704,2469,670,94
705,2506,664,106
706,2544,666,89
707,2558,702,121
708,2654,776,179
709,2703,775,111
710,2762,799,118
711,2801,816,113
712,2800,809,100
713,2875,887,170
714,2900,859,95
715,2955,824,137
716,3035,850,141
717,3073,852,125
718,3106,850,116
719,3133,865,110
720,3160,788,87
721,3173,812,119
722,3178,776,96
723,3195,740,101
724,3238,742,128
725,3222,732,107
726,3255,757,137
727,3247,778,110
728,3246,774,112
729,3215,735,60
730,3241,746,111
731,3285,768,148
732,3280,767,105
733,3279,719,89
734,3325,750,142
735,3278,691,51
736,3254,698,67
737,3183,639,52
738,3077,556,63
739,3013,497,47
740,2968,481,71
741,2929,412,74
742,2960,486,126
743,2979,608,187
744,3051,716,168
745,3026,759,110
746,3043,860,149
747,3080,948,162
748,3131,1043,172
749,3182,1082,166
750,3274,1085,186
751,3389,1158,237
752,3456,1210,163
753,3558,1264,204
754,3699,1372,269
755,3834,1449,252
756,3864,1456,170
757,3856,1377,106
758,3913,1314,172
759,3997,1294,143
760,3990,1202,113
761,3924,1021,84
762,3981,934,163
763,3958,830,61
764,3944,856,135
765,4059,859,182
766,4144,868,164
767,4214,879,132
768,4298,946,152
769,4362,897,122
770,4540,1097,269
771,4693,1195,238
772,4742,1202,176
773,4757,1242,195
774,4764,1283,178
775,4820,1298,175
776,4816,1323,145
777,4803,1209,146
778,4800,1141,168
779,4772,1106,139
780,4732,1065,145
781,4637,1034,152
782,4638,1027,169
783,4598,1045,158
784,4496,1058,158
785,4376,1023,135
786,4355,1036,150
787,4400,1052,159
788,4380,1062,159
789,4438,1094,204
790,4509,1120,187
791,4563,1099,142
792,4556,1119,153
793,4670,1146,180
794,4681,1137,143
795,4674,1134,153
796,4640,1044,109
797,4607,952,93
798,4587,939,128
799,4580,896,105
800,4448,838,125
801,4297,774,78
802,4201,698,71
803,4125,699,107
804,4052,710,105
805,3977,673,94
806,3943,672,106
807,3916,661,113
808,3846,677,100
809,3816,711,110
810,3807,734,130
811,3792,760,127
812,3713,753,88
813,3635,727,77
814,3551,690,76
815,3509,686,94
816,3434,647,74
817,3363,597,82
818,3330,596,126
819,3242,626,115
820,3252,745,197
821,3215,773,102
822,3144,755,80
823,3044,760,81
824,2972,750,72
825,2917,715,86
826,2954,749,149
827,2993,684,131
828,2943,663,80
829,2940,685,99
830,2926,714,109
831,2912,707,66
832,3002,783,163
833,2961,700,67
834,2948,664,91
835,2961,692,111
836,2963,698,107
837,3006,740,160
838,2988,753,83
839,2964,679,91
840,2910,683,74
841,2898,707,111
842,2917,703,100
843,2952,713,115
844,2972,652,96
845,2962,659,88
846,2993,671,106
847,3010,697,101
848,2983,676,94
849,2988,697,118
850,2891,683,97
851,2890,688,102
852,2906,694,95
853,2911,678,85
854,2908,645,71
855,2970,703,152
856,2943,708,129
857,2965,763,159
858,2982,757,94
859,3009,790,122
860,2981,792,83
861,3017,828,103
862,2966,789,118
863,3020,783,124
864,3074,770,143
865,3053,754,83
866,3046,728,97
867,2975,734,84
868,2987,726,99
869,3005,718,108
870,2956,618,22
